City,Age_dependency_ratio,NO2_avg_conc,Avg_annual_rent_per_m2,Avg_living_area_m2_per_person,Avg_apartment_price_per_m2,Temp_coldest_month,Temp_warmest_month,Avg_journey_minutes,Crude_birth_rate,Crude_death_rate,Share_foreigners,Infant_mortality_rate,Median_age,Beds_per_1000,Cars_per_1000,Old_dependency_ratio,Road_deaths_per_10000,Population,Rainfall_l_per_m2,Share_early_leavers,Share_car_motorcycle,Share_public_transport,Share_poverty_risk,Share_students_higher_edu,Tourist_nights_per_resident,Sunshine_hours_per_day,Unemployment_rate,Young_dependency_ratio,Country_code,Deaths_under_65_circ_resp_per_100k,Waste_prod_rate
's-Gravenhage,61.1,,,49.3,,,,,9.64,8.38,19.4,3.06,37.0,,367.25,26.0,0.17,813669.0,,,,,,64.8,23.06,,5.27,35.2,NL,21.138816889914697,3915.597128562106
's-Hertogenbosch,63.8,,,,,,,,9.88,9.45,6.5,1.89,40.0,,546.45,29.8,0.13,160757.0,,,,,,37.1,,,2.53,34.0,NL,28.614617092879314,4049.5903755357467
A Coruña,67.9,,85.28,37.12,,,,,5.57,10.58,7.6,4.35,48.3,16.21,427.69,40.9,0.12,247350.0,,,,,,98.3,1.76,,10.45,27.0,ES,27.89569436021831,
Aachen,54.1,,9.2,46.5,2350.0,,,23.2,8.18,10.2,22.3,2.91,37.0,19.76,381.9,28.1,0.12,252136.0,,3.3,55.4,21.9,,229.6,1.93,,5.63,25.5,DE,39.66113526033569,393.8350731351334
Aalborg,63.5,,90.85,48.7,,,,,11.86,10.62,,2.61,39.7,,,27.6,,,,,,,,,,,,36.0,DK,,
Aberdeen,53.0,,,,,,,,10.24,9.51,16.5,1.25,37.1,,394.73,23.7,0.09,228180.0,,,,,,117.9,,,7.16,29.2,UK,53.46656148654571,261.98615128407397
Acireale,63.9,,,38.03,,,,,7.37,11.12,3.1,5.36,46.0,53.17,822.89,33.5,0.2,50608.0,,,,,,0.1,3.43,,18.32,30.4,IT,27.663610496364214,484.9035725576984
Adana,,,,,,,,,,3.69,,,,,,,,,,,,,,,,,,,TR,,
Aix-en-Provence,67.4,,,43.0,4962.0,,,,9.5,8.44,9.0,2.3,37.0,57.39,540.42,31.9,0.27,147933.0,,,70.0,15.4,,267.0,9.2,,11.41,35.5,FR,18.25150574922431,601.6237080299866
Alba Iulia,48.8,,,17.42,,,,,8.26,7.63,,3.24,,16.42,,21.4,,74659.0,,,,,,73.4,1.62,,,27.3,RO,69.65000870625109,
Albacete,59.3,,72.33,35.33,,,,,6.73,7.94,6.5,3.43,44.2,11.27,445.81,25.5,0.52,173202.0,,,,,,79.2,1.02,,11.77,33.7,ES,25.981224235285968,
Alcalá de Guadaíra,63.3,,74.89,,,,,,6.14,7.9,2.8,0.0,43.0,,475.77,22.7,0.26,76829.0,,,,,,9.9,,,20.83,40.6,ES,37.74616355803147,
Alcalá de Henares,59.1,,111.22,32.91,,,,,7.2,7.04,16.7,0.0,45.0,10.53,475.85,27.4,0.3,198348.0,,,,,,101.0,0.93,,12.29,31.7,ES,30.249863875612558,
Alcoy,66.5,,52.93,,,,,,5.99,10.61,8.9,2.8,46.5,,476.92,34.6,0.34,59563.0,,,,,,72.4,,,15.19,31.9,ES,33.577892315699344,
Alessandria,71.4,,,,,,,,6.76,12.66,15.9,3.49,48.0,13.73,662.07,43.6,0.66,91323.0,,,,,,46.9,1.67,,8.93,27.8,IT,26.28034558654446,581.2336432224083
Algeciras,63.0,,83.21,32.78,,,,,7.37,8.19,9.0,2.19,42.6,12.67,480.07,25.0,0.4,123943.0,,,,,,30.0,1.81,,23.25,38.0,ES,41.95476953115545,
Alicante/Alacant,62.9,,85.53,37.32,,,,,6.94,8.24,17.8,1.64,44.8,31.93,430.68,30.5,0.17,350598.0,,,,,,17.8,2.74,,15.79,32.4,ES,30.804511149521677,
Alkmaar,73.0,,,,,,,,9.44,9.39,5.5,2.81,41.0,,491.27,34.6,0.26,226692.0,,,,,,30.0,,,3.25,38.4,NL,4.411271681400314,4803.874861044942
Almelo,72.8,,,,,,,,9.55,10.83,6.8,4.23,41.0,,497.96,34.3,0.14,74317.0,,,,,,30.4,,,4.39,38.6,NL,6.727935734757861,4628.8197855134085
Almere,58.8,,,,,,,,11.28,5.62,11.6,2.35,36.0,,1165.84,18.7,0.05,226500.0,,,,,,34.6,1.88,,4.08,40.2,NL,26.93156732891832,4097.130242825607
Almería,61.0,,79.8,33.63,,,,,8.26,7.95,11.3,4.22,42.8,17.71,434.68,25.6,0.3,200665.0,,,,,,101.0,1.9,,20.7,35.4,ES,28.903894550619192,
Alphen aan den Rijn,71.6,,,,,,,,10.33,8.29,6.2,5.05,41.0,,489.8,32.8,0.27,114966.0,,,,,,31.8,,,3.6,38.8,NL,,4627.455073673956
Altamura,65.1,,,,,,,,8.92,7.57,4.7,1.72,41.0,14.86,568.61,26.9,0.29,70038.0,,,,,,0.0,0.55,,8.46,38.2,IT,15.70575973043205,364.65918501384965
Alytus,64.2,,9.94,24.5,889.79,,,,4.83,12.29,2.1,4.03,49.0,9.5,520.55,34.1,0.39,51340.0,,,,,,14.2,0.64,,,30.1,LT,75.96416049863655,382.3529411764706
Amersfoort,65.9,,,,,,,,10.94,7.78,5.2,2.82,38.0,,878.93,25.0,0.13,161852.0,,,,,,37.3,,,4.37,40.9,NL,30.274571831055535,4800.682104638806
Amiens,71.0,,,41.0,2439.0,,,,11.16,9.07,8.6,5.93,34.0,21.72,450.99,27.1,0.2,148502.0,,,64.0,17.3,,202.5,3.38,,18.36,43.9,FR,23.568706145371777,457.906290824366
Amsterdam,49.4,,63.0,34.4,,,,,10.15,6.74,22.0,2.57,36.0,,303.16,20.2,0.16,1073736.0,,,,,,68.4,,,4.75,29.2,NL,21.606800926857254,3610.757206613171
Ancona,73.8,,,41.93,,,,,6.46,12.29,14.1,13.98,48.0,43.63,636.7,44.7,0.4,98950.0,,,,,,145.1,4.31,,7.56,29.0,IT,11.116725618999494,472.96614451743307
Andria,63.6,,,,,,,,7.85,9.18,1.9,2.53,43.0,11.09,617.44,28.5,0.72,97346.0,,,,,,0.0,0.47,,10.54,35.1,IT,14.381690054034063,428.06073182257103
Angers,78.7,,,45.0,2999.0,,,,10.9,8.78,7.9,5.42,35.0,22.21,516.87,34.2,0.28,210759.0,,,66.7,15.3,,219.1,3.19,,14.78,44.5,FR,17.08112109091427,389.0699804041583
Ankara,,,,,,,,,,4.53,,,,,,,,,,,,,,,,,,,TR,,
Annecy,75.9,,,44.0,5319.0,,,,11.04,8.84,10.2,2.18,40.0,47.39,567.86,36.1,0.3,131272.0,,,71.8,10.8,,60.6,9.06,,8.84,39.8,FR,12.950210250472301,182.82649765372662
Annemasse-Geneva (French part),63.0,,,41.0,3476.0,,,,13.49,6.78,22.5,6.05,36.0,42.22,497.71,23.2,0.16,64114.0,,,60.3,23.4,,12.9,6.44,,15.68,39.8,FR,10.918052219484045,530.3053935177965
Antalya,,,,,,,,,,2.07,,,,,,,,,,,,,,,,,,,TR,,
Antwerpen,70.0,,27.76,35.64,,,,,0.01,8.13,24.1,5.4244200000000005,36.0,33.32,401.43,28.1,0.16,547794.0,,,,,,104.4,1.37,,7.64,41.9,BE,14.056378857745797,379.70477953391236
Anzio,64.8,,,,,,,,6.46,9.23,13.1,2.67,45.0,187.49,679.86,30.5,0.0,59250.0,,,,,,0.0,2.6,,10.96,34.3,IT,35.44303797468355,586.1603375527426
Apeldoorn,74.8,,,35.5,,,,,8.77,11.01,4.8,4.07,43.0,,514.95,36.8,0.24,168211.0,,,,,,27.6,5.09,,3.24,37.9,NL,32.69702932626285,4042.5418076106794
Arad,52.8,,,19.26,,,,,8.12,10.83,,2.09,,18.01,,26.5,,176846.0,,,,,,50.9,1.36,,,26.3,RO,100.08708141546882,
Arezzo,72.0,,,,,,,,6.3,12.22,11.9,3.13,48.0,47.92,709.25,43.4,0.93,96535.0,,,,,,18.1,4.87,,6.46,28.6,IT,19.681980628787485,588.3876314290154
Arnhem,58.8,,,,,,,,9.17,8.72,8.4,4.18,38.0,,425.22,25.1,0.23,182783.0,,,,,,49.9,1.98,,4.0,33.8,NL,23.525163718726578,4513.548853011494
Arras,76.2,,,47.0,2288.0,,,,10.08,10.37,5.5,2.96,38.0,24.09,495.95,32.1,0.3,67090.0,,,72.9,13.5,,130.9,3.56,,15.68,44.1,FR,38.75391265464302,566.4033387986287
Arrecife,47.9,,82.17,34.16,,,,,8.64,5.81,19.7,5.37,40.9,,479.22,15.5,0.46,64735.0,,,,,,24.1,,,12.36,32.4,ES,40.16374449679463,
Aschaffenburg,63.1,,9.0,52.0,1650.0,,,22.1,9.23,11.65,19.8,0.0,44.6,19.21,494.66,33.8,0.28,72444.0,,12.5,63.7,12.8,,49.1,2.03,,4.27,29.0,DE,35.88979073491248,473.4691623874993
Ashford,79.9,,,,,,,,11.37,9.18,4.3,1.37,41.9,,519.66,34.7,,128404.0,,,,,,,,,3.83,45.2,UK,27.257717828105044,326.0801844179309
Assen,74.9,,,,,,,,8.68,11.18,4.5,3.31,,,497.8,35.5,0.15,69701.0,,,,,,32.0,,,4.88,39.4,NL,,4849.2848022266535
Asti,72.6,,,43.43,,,,,6.74,11.89,12.3,2.04,48.0,19.53,694.35,43.1,0.41,73691.0,,,,,,17.7,1.31,,7.91,29.4,IT,27.140356352878914,465.59281323363774
Athina,,,,45.61,,,,,15.31,10.56,,1.79,41.0,,,,,,,,,,,,,,,,EL,,
Augsburg,58.5,,10.4,44.2,2870.0,,,24.5,9.65,10.37,24.8,3.79,41.3,14.21,398.02,31.0,0.1,301033.0,,7.6,53.4,24.0,,89.8,1.41,,5.42,27.4,DE,36.208654865081236,437.1613743343753
