City,Avg_living_area_m2_per_person,Crude_birth_rate,Share_foreigners,Infant_mortality_rate,Cars_per_1000,Old_dependency_ratio,Road_deaths_per_10000,Population,Share_students_higher_edu,Unemployment_rate,Country_code
's-Gravenhage,49.3,9.64,19.4,3.06,367.24999999999994,26.0,0.17000000000000004,813668.9999999999,64.8,5.27,NL
's-Hertogenbosch,38.70971006273383,9.88,6.5,1.89,546.45,29.8,0.13,160756.99999999985,37.1,2.5299999999999994,NL
A Coruña,37.12,5.57,7.6,4.35,427.6899999999999,40.9,0.12,247350.00000000017,98.30000000000001,10.45,ES
Aachen,46.5,8.18,22.3,2.91,381.8999999999999,28.1,0.12,252136.0000000002,229.59999999999997,5.63,DE
Aalborg,48.7,11.86,10.409511889862328,2.61,424.3891165704729,27.6,0.18355875686387157,188336.31375562583,75.85143132562533,8.32179190751445,DK
Aberdeen,33.157428004094655,10.24,16.5,1.25,394.7300000000001,23.7,0.08999999999999998,228179.99999999994,117.90000000000006,7.16,UK
Acireale,38.03,7.37,3.0999999999999996,5.36,822.8900000000003,33.5,0.20000000000000004,50608.0,0.1000000000000004,18.32,IT
Adana,37.58567964376363,9.033172737955345,10.409511889862328,3.6961490476190475,480.3656978673609,32.204938932469396,0.26538026292315053,147866.11318814132,43.04376887256716,8.32179190751445,TR
Aix-en-Provence,43.0,9.5,9.0,2.3,540.4200000000002,31.9,0.27,147933.00000000003,266.99999999999994,11.41,FR
Alba Iulia,17.42,8.26,10.409511889862328,3.24,491.5794802476462,21.4,0.29313925524805035,74658.99999999996,73.40000000000003,8.32179190751445,RO
Albacete,35.33,6.73,6.5,3.43,445.81,25.5,0.52,173201.9999999999,79.2,11.77,ES
Alcalá de Guadaíra,34.21017762626557,6.14,2.8,0.0,475.76999999999987,22.7,0.26,76828.99999999994,9.899999999999995,20.83,ES
Alcalá de Henares,32.91,7.2,16.7,0.0,475.85000000000014,27.4,0.2999999999999999,198348.00000000006,100.99999999999996,12.29,ES
Alcoy,41.45225771587527,5.99,8.9,2.8,476.91999999999985,34.6,0.33999999999999997,59562.99999999999,72.40000000000002,15.189999999999998,ES
Alessandria,43.48490161132012,6.76,15.9,3.49,662.0699999999999,43.6,0.6599999999999999,91322.99999999996,46.9,8.93,IT
Algeciras,32.78,7.37,9.0,2.19,480.0700000000001,25.0,0.4000000000000001,123942.99999999991,30.0,23.25,ES
Alicante/Alacant,37.32,6.94,17.8,1.64,430.67999999999995,30.5,0.17000000000000004,350598.00000000023,17.800000000000004,15.79,ES
Alkmaar,46.14162159970025,9.44,5.5,2.81,491.27,34.6,0.26,226691.99999999997,30.0,3.25,NL
Almelo,46.80254431516173,9.55,6.8,4.23,497.9599999999998,34.3,0.13999999999999999,74317.0,30.4,4.39,NL
Almere,28.109330335830975,11.28,11.6,2.35,1165.8400000000004,18.7,0.04999999999999999,226499.99999999985,34.60000000000001,4.08,NL
Almería,33.63,8.26,11.3,4.22,434.67999999999984,25.6,0.2999999999999999,200664.99999999994,100.99999999999996,20.700000000000003,ES
Alphen aan den Rijn,38.60580282537251,10.33,6.2,5.05,489.7999999999999,32.8,0.27,114965.99999999993,31.79999999999999,3.5999999999999996,NL
