STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indic_ur,Urban audit indicator,cities,Geopolitical entity (declaring),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,AT001C,Wien (greater city),2013,,30.55,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,AT001C,Wien (greater city),2014,,28.45,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG001C,Sofia,2008,,36.09,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG001C,Sofia,2010,,38.29,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG001C,Sofia,2011,,41.73,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG001C,Sofia,2012,,40.76,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG001C,Sofia,2014,,32.83,,e,estimated,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG001C,Sofia,2015,,32.30,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG001C,Sofia,2016,,33.50,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG001C,Sofia,2017,,31.00,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG001C,Sofia,2018,,25.30,,,,,
dataflow,ESTAT:URB_CLIVCON(1.0),Living conditions - cities and greater cities,A,Annual,EC3067V,Share of persons at risk of poverty or social exclusion -%,BG002C,Plovdiv,2008,,36.09,,e,estimated,,
