STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indic_ur,Urban audit indicator,cities,Geopolitical entity (declaring),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE001C,Bruxelles/Brussel (greater city),2016,,89.0,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE001C,Bruxelles/Brussel (greater city),2017,,89.6,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE001C,Bruxelles/Brussel (greater city),2019,,91.9,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE001C,Bruxelles/Brussel (greater city),2020,,94.7,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE001C,Bruxelles/Brussel (greater city),2021,,99.8,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE001C,Bruxelles/Brussel (greater city),2022,,103.0,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE002C,Antwerpen (greater city),2016,,88.4,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE002C,Antwerpen (greater city),2017,,101.1,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE002C,Antwerpen (greater city),2019,,95.1,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE002C,Antwerpen (greater city),2020,,100.7,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE002C,Antwerpen (greater city),2021,,103.4,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE002C,Antwerpen (greater city),2022,,104.2,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE002C,Antwerpen (greater city),2023,,104.4,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE003C,Gent,2016,,315.3,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE003C,Gent,2017,,329.1,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE003C,Gent,2019,,311.3,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE003C,Gent,2020,,323.6,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE003C,Gent,2021,,335.5,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE003C,Gent,2022,,342.6,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE003C,Gent,2023,,342.7,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE004C,Charleroi (greater city),2016,,27.4,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE004C,Charleroi (greater city),2017,,30.4,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE004C,Charleroi (greater city),2019,,30.0,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE004C,Charleroi (greater city),2020,,38.0,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE004C,Charleroi (greater city),2021,,33.3,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE004C,Charleroi (greater city),2022,,30.3,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE005C,Liège (greater city),2016,,110.7,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE005C,Liège (greater city),2017,,113.4,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE005C,Liège (greater city),2019,,116.6,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE005C,Liège (greater city),2020,,111.7,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE005C,Liège (greater city),2021,,120.8,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE005C,Liège (greater city),2022,,120.1,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE006C,Brugge,2016,,58.4,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE006C,Brugge,2017,,62.4,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE006C,Brugge,2019,,61.0,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE006C,Brugge,2020,,35.1,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE006C,Brugge,2021,,36.2,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE006C,Brugge,2022,,35.3,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE006C,Brugge,2023,,35.5,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE007C,Namur,2016,,135.0,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE007C,Namur,2017,,142.9,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE007C,Namur,2019,,146.2,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE007C,Namur,2020,,145.0,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE007C,Namur,2021,,144.7,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE007C,Namur,2022,,137.5,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE008C,Leuven,2016,,540.0,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE008C,Leuven,2017,,571.9,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE008C,Leuven,2019,,530.0,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE008C,Leuven,2020,,548.1,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE008C,Leuven,2021,,569.8,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE008C,Leuven,2022,,579.3,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE008C,Leuven,2023,,583.9,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE009C,Mons (greater city),2016,,152.8,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE009C,Mons (greater city),2017,,148.0,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE009C,Mons (greater city),2019,,178.0,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE009C,Mons (greater city),2020,,177.1,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE009C,Mons (greater city),2021,,115.5,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE009C,Mons (greater city),2022,,122.4,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE010C,Kortrijk (greater city),2016,,142.2,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE010C,Kortrijk (greater city),2017,,149.0,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE010C,Kortrijk (greater city),2019,,181.7,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE010C,Kortrijk (greater city),2020,,184.5,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE010C,Kortrijk (greater city),2021,,193.3,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE010C,Kortrijk (greater city),2022,,189.1,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE010C,Kortrijk (greater city),2023,,187.9,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE011C,Oostende (greater city),2016,,12.8,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE011C,Oostende (greater city),2017,,11.7,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE011C,Oostende (greater city),2019,,3.7,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE011C,Oostende (greater city),2020,,4.2,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE011C,Oostende (greater city),2021,,4.7,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE011C,Oostende (greater city),2022,,4.6,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE011C,Oostende (greater city),2023,,4.5,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE012C,Mechelen,2021,,79.1,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE012C,Mechelen,2022,,76.6,,,,,
dataflow,ESTAT:URB_CEDUC(1.0),Education - cities and greater cities,A,Annual,TE1026I,Share of students in higher education in the total population (per 1000 persons),BE012C,Mechelen,2023,,75.1,,,,,
